PDB_ID	ΔG_kJ/mol	Avg_Bfactor_Total	Avg_Bfactor_Interface	Charged_Count	Polar_Count	Hbond_Count
2ptt	-30.81	20.25	18.49	19	15	18
2j59	-41.44	22.83	22.97	93	119	46
2oob	-24.22	20.23	17.16	7	4	3
2r56	-30.26	27.19	18.0	67	116	56
2v3b	-30.26	29.5	30.83	8	3	4
2qho	-24.1	15.62	14.18	31	49	33
2onl	-46.93	99.77	99.9	67	63	31
2ibf	-46.28	74.28	79.93	22	19	9
2qr0	-46.28	68.52	56.22	171	575	202
2j5l	-40.6	60.81	59.45	29	61	28
2v9t	-46.15	21.29	19.68	12	18	7
2pye	-40.46	19.69	13.98	68	108	141
2uyz	-40.45	12.31	13.26	14	3	6
2px9	-23.16	1.94	2.14	26	11	16
2i26	-45.81	29.94	27.31	41	46	26
3biw	-40.03	132.7	121.04	46	48	33
2v1d	-41.67	85.1	90.57	52	39	30
2o8v	-34.01	55.91	59.34	12	7	11
2uxn	-39.5	75.56	85.26	44	32	16
2g81	-44.9	17.99	14.66	8	19	14
2nz1	-44.2	37.64	33.38	34	46	37
2ijo	-43.49	44.49	40.26	34	41	37
2pw8	-77.64	33.26	32.98	39	32	40
2jod	-36.85	1.33	1.64	22	18	20
2nqd	-59.41	18.42	15.37	11	15	9
2p3f	-59.17	32.85	24.73	30	25	31
2uuy	-47.1	10.17	7.96	8	14	12
3c5t	-54.35	38.13	35.45	11	7	6
2z7f	-46.73	19.81	14.82	5	8	7
2w2n	-40.84	26.99	23.61	19	30	29
3brt	-44.2	42.88	41.54	38	26	25
3brv	-43.54	16.0	14.52	39	36	45
2qur	-37.68	41.35	37.94	14	12	8
3c59	-49.1	54.26	51.61	10	6	5
3ehu	-31.29	29.9	31.2	10	12	11
3bow	-42.78	11.61	13.38	85	64	62
2za4	-56.24	21.02	18.89	23	27	22
2vdb	-56.07	44.66	43.06	17	12	7
3dxc	-38.0	40.74	37.1	19	28	23
2vfx	-37.68	24.73	0.0	0	0	0
2k05	-38.24	37.44	37.85	67	46	54
3dvu	-38.24	66.1	60.45	27	22	13
2roz	-37.07	0.0	0.0	11	17	8
3dxe	-36.99	41.77	37.89	18	26	21
3dxd	-36.92	50.72	46.15	19	29	24
2vlp	-70.01	19.57	17.07	8	20	16
2jti	-35.56	15.86	13.93	16	12	5
2jzn	-18.84	0.75	1.51	20	17	5
1vsq	-18.84	0.75	1.51	19	17	5
2pjy	-35.96	51.77	52.43	16	11	15
3ddc	-34.89	25.77	23.92	13	10	7
2vof	-52.25	31.18	30.99	38	22	32
2vlo	-68.78	21.81	18.6	8	20	12
2z34	-34.54	32.19	27.49	34	19	52
3c4m	-34.3	39.13	39.26	32	23	10
3f5c	-34.51	117.03	99.64	16	15	14
3dbr	-34.2	80.73	71.63	322	320	333
3b2u	-51.37	27.65	26.16	182	441	258
2v51	-34.25	35.53	36.48	20	24	13
2qja	-51.13	77.75	77.33	33	36	31
2voi	-51.13	55.94	53.5	11	9	5
2v4z	-33.69	53.82	53.23	18	12	11
2jjt	-33.79	32.74	27.97	42	34	28
2jjs	-33.79	20.53	20.46	51	39	49
2jki	-33.02	53.37	50.6	75	60	52
3dbh	-32.99	88.16	78.78	319	318	331
2vln	-67.21	14.64	14.21	9	18	14
2v52	-32.66	23.02	23.76	17	9	9
3c8k	-22.78	75.36	74.18	53	57	87
2vwe	-56.76	44.08	39.52	54	152	88
2p45	-39.59	15.23	11.52	5	17	8
2p46	-39.59	31.76	27.83	10	38	16
2p48	-39.59	47.62	40.23	5	17	9
2p47	-39.59	89.59	88.05	4	17	10
3e3q	-39.59	47.95	44.08	247	459	583
3ch5	-22.38	36.45	37.86	8	10	3
3eg5	-33.69	53.16	50.05	36	36	24
3eab	-28.09	53.67	44.9	112	78	80
2ver	-27.87	1.75	1.93	9	16	11
2rms	-39.23	0.0	0.0	9	7	2
2q5d	-44.56	83.52	62.87	45	27	16
2p8q	-44.56	48.09	49.37	36	30	21
2rnr	-38.95	0.0	0.0	30	10	33
2z58	-44.5	23.8	23.08	16	21	19
2k6d	-21.5	37.84	41.6	13	9	10
2otk	-44.35	0.0	0.0	11	7	13
2w2m	-38.29	26.09	21.42	20	30	27
3d5r	-44.07	41.12	39.61	30	18	6
2voh	-51.37	25.18	24.31	12	10	8
3dgc	-51.37	39.93	35.02	50	41	39
3d5o	-34.25	51.45	61.44	21	26	9
3eba	-49.24	28.52	26.07	9	6	7
3e2u	-32.18	73.39	69.74	46	53	57
2qj9	-49.2	88.26	87.27	35	36	25
2k3s	-31.78	0.0	0.0	12	14	14
3eoy	-48.82	62.23	61.81	70	92	59
2oqj	-21.11	69.12	69.29	105	214	120
2p44	-43.94	23.94	20.5	5	17	9
3bpo	-43.94	42.92	43.76	32	32	22
2jy6	-26.82	0.0	0.0	8	6	8
3bn3	-26.82	52.89	49.91	15	17	10
2vog	-38.11	28.82	27.67	12	11	4
2vlq	-60.74	12.17	11.13	8	20	14
3bk3	-43.71	56.3	54.06	8	21	8
2p43	-43.6	17.6	14.96	5	19	9
2p42	-43.6	19.6	15.02	10	35	17
3b9f	-26.37	29.44	19.02	42	31	47
3eo1	-54.81	80.72	70.94	64	206	72
3be1	-43.29	66.55	83.33	26	44	41
3bgf	-43.29	47.01	37.75	43	134	110
3d5s	-43.29	42.57	43.02	30	18	14
3b2v	-48.41	67.22	43.04	19	53	24
3bdy	-37.23	47.53	42.57	25	55	41
3blh	-37.23	75.18	65.28	16	6	8
3ech	-37.23	15.0	14.39	21	22	26
3bky	-42.94	46.41	54.14	21	61	25
3d7u	-25.82	191.03	179.2	37	15	19
3cx8	-36.92	32.32	27.8	27	18	18
2k42	-42.56	0.0	0.0	17	15	10
2vsm	-42.56	14.6	13.07	16	23	24
2k2u	-36.78	0.0	0.0	9	6	3
2efh	-42.49	34.7	26.58	24	32	33
2rgn	-42.49	144.54	145.13	105	82	66
3c66	-31.52	54.75	59.94	28	19	23
3d2u	-47.93	42.02	40.43	90	132	81
3bp8	-47.85	44.24	43.11	19	21	20
3dvm	-47.74	58.11	66.96	15	11	3
3c4p	-47.7	23.66	22.04	20	25	16
3cqx	-30.52	34.03	35.12	29	30	36
3c4o	-47.59	22.03	20.11	21	23	17
3e2h	-30.46	67.8	64.04	31	54	79
3cx6	-30.36	40.74	39.08	20	14	17
2qjb	-47.43	81.85	81.65	37	36	25
2jtt	-30.31	0.0	0.0	49	27	36
2vlr	-30.31	41.98	35.2	137	206	206
3c09	-42.05	51.09	43.98	63	123	115
2vyr	-41.99	28.25	23.81	53	57	38
3ejj	-36.2	67.35	38.6	20	13	9
3bpn	-36.03	45.79	42.73	36	43	28
3cqc	-47.93	77.32	54.26	13	14	11
3cqg	-47.93	79.76	67.62	14	14	10
2k5b	-30.81	10.0	10.0	18	13	11
2ve7	-30.81	65.72	66.52	89	99	48
2vlj	-30.16	47.86	43.51	69	107	149
3beg	-41.67	117.65	113.11	19	14	11
3cx7	-35.87	42.87	42.25	25	19	18
3bpl	-35.69	37.91	26.77	28	46	27
3chw	-41.35	22.39	21.2	23	22	21
2efd	-46.44	74.66	61.78	25	33	24
3c9a	-46.31	22.41	23.06	29	51	27
2vay	-46.25	34.43	35.12	21	7	5
3d7t	-23.71	108.09	85.64	14	8	6
2v5q	-40.8	34.3	31.71	30	19	13
3crk	-29.0	53.2	73.02	31	30	27
3dbl	-28.87	71.15	62.47	315	321	321
3dvg	-46.01	64.15	60.62	38	89	90
2qna	-40.42	31.25	30.86	22	18	14
3bik	-29.09	67.94	63.62	15	20	18
3bs5	-40.15	31.99	31.14	13	8	10
3dvn	-40.16	78.85	75.12	72	178	159
3bh6	-40.08	35.88	32.5	24	24	22
3bx1	-33.6	33.57	29.09	20	87	44
3d1m	-33.6	33.07	31.28	39	26	26
3b4v	-60.06	40.24	32.31	93	123	79
3fju	-50.2	10.4	9.18	17	13	15
2oul	-50.05	22.69	19.47	8	18	8
2ody	-49.91	30.82	30.46	122	86	107
3bg4	-42.6	25.98	24.27	24	58	98
3ixe	-33.9	14.08	10.37	19	18	13
3iol	-37.68	15.8	12.41	6	6	3
2w84	-40.84	0.0	0.0	6	7	1
3a6b	-39.76	18.57	15.63	19	42	47
2vxq	-56.84	28.68	25.79	28	63	64
3da7	-39.3	37.74	32.91	54	54	52
3k2u	-55.91	66.83	57.3	30	65	47
2w9e	-57.08	40.71	39.05	29	67	44
3fp6	-74.2	12.98	8.56	11	11	12
2wjv	-38.24	21.85	23.49	24	50	20
3huj	-38.24	42.72	40.27	143	166	124
3inb	-38.24	159.04	154.33	25	41	13
2kbw	-37.07	0.0	0.0	18	12	7
2khs	-36.78	0.0	0.0	22	26	20
2wel	-37.23	19.95	21.57	16	8	7
3dxa	-37.23	63.93	63.94	263	348	403
2w83	-36.4	31.44	25.27	31	27	25
3g3a	-36.34	25.87	23.04	82	85	70
3d3v	-36.17	63.82	61.01	69	99	117
3gty	-53.24	49.99	58.79	36	15	15
2zvk	-36.52	32.47	28.51	19	26	15
3d39	-35.35	66.56	64.44	67	98	91
2k79	-18.12	1.07	1.19	16	18	7
2k7a	-18.12	1.0	1.0	15	18	7
3idc	-52.64	57.32	52.81	23	19	12
2wp0	-34.43	47.94	38.51	14	20	13
3knb	-34.4	26.38	25.58	9	3	11
3gd1	-34.3	67.4	71.62	15	13	7
3h3g	-34.27	44.85	43.96	13	13	7
3ew3	-50.92	107.93	91.69	36	31	22
2wy2	-16.47	0.0	0.0	16	18	3
3hcu	-33.27	79.3	74.28	23	10	9
3hct	-33.27	40.77	33.57	9	6	7
3kpr	-33.24	36.45	34.91	168	254	335
2zvo	-33.08	50.61	38.75	45	25	36
2zvn	-33.08	77.64	63.68	94	61	73
2k8c	-15.67	1.35	1.47	10	8	8
2k8b	-15.67	1.44	1.43	12	9	8
3htu	-32.79	32.05	23.23	68	45	51
3g6j	-49.78	41.31	21.81	166	256	176
2wo2	-28.35	49.88	39.29	18	16	14
3k8p	-45.66	61.29	53.49	16	12	8
3hi1	-45.38	109.2	88.55	54	127	55
3idb	-45.36	23.81	20.13	24	15	14
3dco	-28.17	39.15	40.01	56	51	85
3eiq	-39.72	55.84	52.75	57	46	36
3ifq	-39.59	91.77	93.18	99	92	63
2knb	-28.3	0.67	1.0	14	9	9
2wii	-28.3	67.95	58.88	107	102	93
3hh2	-45.15	24.86	19.39	47	39	44
3h2u	-27.97	64.03	53.47	32	7	18
3f1p	-22.38	18.52	20.72	17	25	4
3gni	-45.21	28.59	27.48	38	32	30
3fku	-56.43	87.59	81.96	304	347	319
3ff8	-22.18	32.09	23.8	6	25	15
3jsv	-22.16	82.3	58.62	14	5	6
2wqz	-39.27	72.52	71.26	17	27	15
3hpw	-27.89	13.17	13.29	22	18	21
2w19	-39.12	29.98	31.13	38	16	18
2wfx	-44.83	74.54	73.34	21	17	16
2wub	-38.95	71.03	61.03	61	131	78
3g6d	-61.78	18.71	14.57	27	51	41
3h6g	-27.53	89.77	0.0	0	0	0
2wuc	-38.77	38.26	36.4	37	75	36
3hg0	-44.5	50.04	39.07	7	15	11
3di2	-27.08	45.14	38.57	20	24	10
3g9v	-68.49	39.42	33.46	33	32	35
3jrm	-68.49	38.68	37.01	230	202	188
3kv4	-34.25	25.68	21.47	13	20	13
2vxs	-49.53	43.64	38.18	88	246	123
3gc3	-32.41	24.3	23.57	17	17	9
3eoa	-49.41	31.41	25.25	61	125	71
3eob	-49.41	97.32	88.08	57	113	75
2wo3	-32.18	43.67	40.72	13	9	8
2k8f	-31.78	0.0	0.0	17	14	8
2kc8	-38.24	0.0	0.0	31	8	23
3ff7	-21.11	28.15	23.43	14	34	24
3gxu	-38.2	20.57	17.52	15	15	10
2wby	-43.94	28.39	36.43	53	86	96
3doe	-43.94	37.88	36.79	11	12	11
3g7z	-61.07	25.75	26.22	39	36	65
3fhc	-43.75	42.37	45.75	23	18	23
2w2x	-26.6	64.96	63.3	12	21	7
3di3	-43.82	81.89	71.78	12	12	4
3h8k	-43.82	33.48	30.74	13	7	8
3h2v	-26.57	55.74	54.94	75	23	44
3ho5	-38.0	96.76	88.4	22	16	18
3gsn	-26.01	52.58	46.4	60	108	135
3jvf	-37.3	110.29	101.89	33	45	44
3he7	-37.26	44.17	43.72	64	83	49
3etb	-60.15	13.5	11.76	81	94	77
3gqi	-42.7	80.48	78.12	18	17	8
3g3b	-42.63	44.87	42.08	72	87	54
3g9w	-25.36	32.08	34.98	34	35	25
2w8b	-42.35	18.98	16.7	95	112	70
3jse	-65.77	57.2	56.2	240	183	168
3gj8	-31.52	35.65	33.94	13	12	4
3idx	-47.91	110.4	102.76	33	55	27
3idy	-47.91	150.89	146.48	77	115	51
2zxx	-47.7	57.35	52.75	60	46	39
3hi6	-30.41	21.41	18.83	39	118	48
3it8	-59.17	74.16	59.22	96	74	53
3hae	-41.88	2.0	2.0	256	437	529
3gj5	-24.7	43.27	44.92	11	12	3
3f7p	-24.6	82.53	93.15	53	33	35
3gj3	-24.6	35.32	32.5	6	7	3
3kps	-24.6	36.97	34.75	70	121	151
2w81	-47.93	42.43	38.99	95	94	74
2w80	-47.93	40.48	39.06	137	128	112
3h42	-65.06	46.22	31.93	43	88	82
3gj7	-30.81	54.97	54.01	11	17	7
3kls	-47.14	156.44	173.35	32	44	25
3a67	-47.09	20.05	17.08	19	43	42
2ka6	-41.57	0.0	0.0	22	21	16
2k2s	-41.53	0.86	0.91	19	30	33
2wbj	-18.54	63.91	60.96	176	257	315
2ka4	-41.3	6.0	6.0	33	34	24
3ejh	-30.26	52.53	44.88	27	19	32
3gb8	-29.61	44.54	22.19	27	32	14
3gj6	-29.61	88.25	142.16	4	11	5
3gj4	-29.57	50.99	51.74	6	19	9
3gjf	-41.1	32.74	27.77	115	224	241
2kj4	-41.02	0.0	0.0	17	7	15
3he6	-40.87	48.88	48.38	66	79	54
3a6c	-46.5	16.9	14.33	20	42	48
2wg3	-40.71	19.99	20.14	45	37	46
2wg4	-40.7	66.52	60.99	19	16	14
2wwx	-40.54	13.53	10.53	22	30	27
3jtl	-63.67	40.65	39.84	231	187	226
3dmm	-29.03	56.04	46.82	54	69	54
2k3u	-46.09	12.51	12.87	12	15	8
2kde	-28.83	7.9	9.03	16	11	5
3ffc	-28.83	39.01	33.88	197	248	303
2wss	-40.51	95.13	101.06	701	591	494
2wx0	-29.09	43.89	32.2	27	23	22
3ia3	-40.13	83.08	74.33	20	28	10
3bzd	-22.93	18.22	14.75	8	17	5
2kgx	-28.8	10.0	10.0	18	19	11
3gmw	-58.8	26.12	24.19	45	40	42
2vxt	-55.36	21.81	20.21	35	52	41
3fxd	-43.94	30.95	34.19	28	22	15
3fsh	-47.38	62.82	52.6	12	6	1
3h8d	-40.51	31.95	27.93	97	75	106
3e1z	-59.61	25.97	24.09	6	15	8
3h6s	-57.63	31.83	25.1	55	74	60
3fii	-49.78	39.3	44.45	25	23	24
3fie	-51.37	22.38	26.61	60	58	49
3k9m	-49.65	42.44	43.32	37	57	46
3e2l	-58.0	29.51	25.14	39	60	34
3e2k	-58.0	35.02	32.45	45	57	31
3g7a	-45.92	37.74	37.17	5	10	3
3f50	-45.92	83.53	80.06	4	9	4
3n00	-39.72	49.47	46.33	15	14	11
3ixt	-59.68	58.83	55.34	48	104	56
3mc0	-39.4	36.6	29.94	21	28	16
3fpu	-56.62	31.86	28.54	17	17	26
3iu3	-56.24	87.22	77.92	111	224	160
3laq	-55.76	33.82	32.56	54	55	50
2wpt	-39.95	26.11	19.45	13	16	11
3lk2	-39.95	21.48	20.07	76	67	88
3nfp	-54.61	69.73	57.58	62	116	74
3ogo	-54.19	34.88	35.37	52	42	42
3l9j	-54.04	28.26	24.29	14	10	11
3mca	-36.58	67.74	53.66	23	23	18
3kuc	-36.27	26.21	21.46	14	8	10
3o6q	-53.29	62.11	63.64	71	81	81
2kwj	-35.96	0.0	0.0	12	13	15
3lev	-52.64	106.58	74.61	36	49	46
2wp3	-34.82	15.55	15.46	9	4	11
3n85	-51.95	74.66	64.48	26	55	31
3mxw	-52.25	25.26	24.94	46	66	54
2wwk	-33.63	8.76	9.13	8	3	10
2ki4	-47.93	0.31	0.55	28	32	18
3oky	-33.6	50.27	42.04	18	13	6
3ma2	-33.19	24.81	21.68	30	42	35
3lk4	-50.36	48.83	43.04	917	935	1519
3lqa	-33.08	101.83	95.62	55	69	35
3kud	-32.93	39.46	38.74	13	9	11
3m0a	-32.93	82.86	61.34	9	9	10
3osl	-49.91	37.68	33.34	42	30	36
3k75	-39.72	51.86	41.02	14	19	10
3kz1	-39.72	71.51	65.45	33	28	26
2xb6	-39.61	24.38	25.59	18	27	18
3pl6	-27.65	57.65	53.02	82	113	145
3k3q	-56.12	41.85	32.43	55	47	54
3h3p	-44.83	32.28	30.2	18	60	50
2kxh	-27.7	0.0	0.0	13	7	6
3k6g	-44.42	31.0	26.88	50	43	46
3oak	-38.65	62.61	64.94	33	14	14
2x1w	-44.5	69.81	65.84	62	70	41
2x1x	-44.5	53.83	56.34	8	8	1
2l0f	-21.49	0.0	0.0	17	10	8
3m63	-38.57	42.9	43.5	10	9	4
3l5n	-38.5	172.26	134.59	75	75	75
3m18	-55.62	29.21	24.86	10	30	15
2kwi	-38.44	0.0	0.0	15	12	14
2wh6	-44.2	27.26	30.95	16	9	4
2rr3	-32.41	0.0	0.0	16	7	5
3mv7	-32.29	40.47	32.63	77	105	118
3o4o	-32.12	125.16	103.48	50	60	36
3onw	-49.3	62.5	66.15	47	33	41
2kwk	-32.18	0.0	0.0	12	12	10
3mjh	-32.08	36.07	37.4	19	24	16
3l95	-49.1	31.86	29.72	48	137	67
3mhp	-31.74	16.21	12.87	32	29	28
3a4s	-31.69	42.69	45.19	12	3	8
3ohm	-38.24	76.5	69.1	28	16	18
3hug	-43.94	46.68	45.48	223	163	229
3nh7	-43.94	64.17	58.06	177	280	213
3ncc	-3.85	39.96	34.61	23	19	17
3kyi	-20.9	85.67	88.85	5	7	2
3aaa	-43.82	26.77	21.81	67	63	69
2xdf	-26.7	362.34	625.71	45	20	13
3o6b	-37.92	114.14	115.11	88	43	51
2wd5	-43.71	49.11	42.9	27	22	17
3mzw	-60.83	57.08	45.74	13	14	11
3ouw	-43.6	79.33	72.27	28	24	13
2ktf	-26.47	0.0	0.0	14	8	5
3aa6	-37.59	23.72	20.03	69	65	80
3l5x	-54.62	48.57	44.63	31	46	33
3kxf	-26.08	24.94	21.34	325	441	512
3l89	-37.37	58.27	61.46	209	270	138
3nvq	-37.34	66.65	46.19	43	48	40
3lhp	-60.23	50.34	47.83	25	63	49
3kj2	-49.65	44.27	31.85	15	9	8
3kj1	-49.65	42.41	32.18	15	8	11
3kj0	-49.65	21.57	19.79	16	10	14
2wvw	-32.53	0.0	0.0	190	181	248
3npz	-31.4	60.79	49.79	42	34	21
3n06	-14.32	41.7	35.74	23	21	17
2l14	-31.44	0.0	0.0	6	15	6
2xra	-48.41	36.04	28.85	33	70	34
3m9d	-31.21	153.98	178.04	84	55	37
3oiq	-30.94	56.54	48.56	9	7	7
2xgy	-25.82	33.15	30.35	12	9	13
2xqr	-42.86	31.48	24.15	143	81	102
3mv8	-25.46	31.16	22.19	79	103	119
2xa0	-42.54	40.12	40.31	46	16	41
3oux	-42.56	66.2	62.57	34	28	24
2wy8	-36.78	22.71	21.39	18	10	13
3kw5	-36.61	123.05	119.75	17	12	12
3jza	-65.77	22.01	17.97	21	32	30
2xtj	-47.7	34.26	29.85	50	90	65
2x9a	-30.57	59.49	52.28	37	33	40
3lb6	-64.66	55.99	44.43	37	27	32
3mzg	-13.15	40.59	32.49	24	21	19
3ajb	-42.18	53.05	63.45	11	6	2
3lbx	-36.52	29.65	26.94	21	14	15
3h7b	-25.04	25.4	25.35	59	92	60
2kwo	-24.71	0.0	0.0	17	8	6
2kri	-24.76	10.0	10.0	14	4	11
3lh2	-58.95	57.21	50.68	54	138	136
3im4	-41.77	53.54	57.72	9	8	3
3kr3	-58.85	26.28	19.59	24	52	46
3aa0	-30.81	24.97	21.53	68	67	84
3n0p	-13.08	34.06	26.51	23	20	18
3h9h	-30.07	35.98	35.14	64	98	66
3ol2	-30.02	74.8	71.54	22	22	7
3mv9	-29.91	47.95	37.47	81	104	115
2kvq	-24.55	0.0	0.0	9	5	2
2kwu	-24.5	0.0	0.0	13	5	4
2xqb	-58.7	51.32	42.11	27	52	28
3l5w	-58.7	49.73	44.85	65	107	73
2kqs	-24.3	3.48	0.97	16	12	9
3mj7	-30.26	67.12	58.78	12	14	12
2x2d	-29.76	33.07	29.92	10	15	13
3o9w	-29.72	47.47	39.81	66	76	65
2l0t	-23.94	1.45	1.31	10	7	11
2wy3	-40.98	32.76	33.54	36	37	26
3lb8	-23.86	75.5	80.49	19	29	18
2kyg	-40.95	0.01	0.01	19	18	4
3me2	-58.03	58.31	64.73	16	12	6
3o8x	-35.17	41.36	33.72	58	77	67
3lk3	-46.93	34.54	30.65	102	92	129
3ngb	-46.31	115.09	105.92	156	259	172
3k2m	-46.55	26.86	26.4	29	36	35
3egg	-46.01	25.62	25.18	66	66	69
3kbt	-45.84	33.25	28.82	27	19	26
3gs2	-45.87	31.08	25.19	34	47	54
3nvn	-45.81	46.64	34.77	21	16	18
3orv	-28.69	28.87	26.57	125	122	174
3ixa	-28.59	23.05	21.75	57	92	59
3ixs	-40.22	35.06	32.25	103	119	124
2kwv	-23.09	0.0	0.0	12	7	4
3ncb	-5.89	39.09	33.87	23	21	16
3k1r	-51.37	25.26	22.41	18	16	17
3mac	-38.24	53.47	49.39	22	60	26
2wus	-30.26	46.61	25.86	19	21	14
3lms	-50.92	55.14	48.05	19	16	22
3l33	-39.19	44.29	42.73	40	41	45
2xtt	-61.07	9.87	7.91	10	18	14
3kz0	-37.46	48.14	37.69	26	19	20
3ssb	-54.35	27.58	25.83	60	53	204
2yj1	-45.01	32.62	34.0	21	20	20
3qbr	-42.63	70.44	66.27	20	17	10
3zrz	-60.06	22.38	20.94	33	28	36
2xqw	-38.5	53.37	47.92	22	22	16
2ybr	-55.24	32.89	24.95	65	89	78
3p71	-36.64	43.66	38.77	26	20	18
3p11	-53.7	159.53	136.63	45	51	54
3alz	-35.87	271.54	266.06	15	19	10
3au4	-35.82	39.63	51.37	6	14	7
3tac	-35.73	53.77	47.98	28	28	18
3ry6	-18.84	34.48	43.27	6	9	5
3oed	-35.96	77.91	73.35	46	42	33
3ona	-35.2	76.56	63.37	9	11	7
3syn	-35.51	30.16	22.73	43	55	55
2y8s	-51.4	33.01	35.38	28	59	32
3qbt	-34.51	39.82	39.26	107	62	58
3n4i	-51.13	19.58	19.63	23	26	20
3qhy	-68.26	20.64	17.12	15	18	10
3rt0	-33.79	36.27	34.23	29	24	19
3r1g	-50.72	38.31	36.98	24	54	33
3uc0	-50.72	58.61	50.07	56	109	88
3noc	-50.36	62.38	64.48	43	20	17
3o5t	-33.24	23.92	22.88	13	11	9
3qq8	-33.24	37.91	30.61	13	13	9
3p0y	-49.75	23.1	18.6	37	56	55
3p6z	-32.59	26.76	25.87	52	32	55
3sdc	-28.37	63.0	61.75	65	72	56
2kxw	-45.66	0.0	0.0	15	10	4
3qc8	-28.26	46.69	44.67	13	12	10
2xze	-39.65	28.2	26.45	36	21	34
3qlu	-45.43	46.21	42.86	59	58	24
2xbb	-28.3	48.92	48.41	24	35	26
3rbb	-45.15	48.1	45.65	12	23	21
2l2l	-45.13	0.0	0.0	15	6	3
3onl	-28.09	38.28	36.24	16	14	8
3qib	-27.76	54.82	46.48	99	124	283
3oj2	-39.3	48.07	43.59	46	60	42
3ojm	-39.3	24.81	21.84	26	29	19
3qml	-45.01	67.73	56.78	73	47	36
2y8t	-44.79	22.81	22.78	29	58	38
2xpx	-38.95	46.97	50.75	9	12	2
3zs9	-38.95	34.98	34.75	35	22	21
3rgv	-27.53	58.97	50.86	63	94	103
3t4a	-27.24	67.19	49.52	144	169	183
3zwl	-38.79	39.86	43.6	28	24	11
3b08	-27.19	23.69	24.35	115	78	64
3qeq	-21.52	58.23	43.15	66	102	101
3rea	-38.51	54.48	44.01	20	27	27
3q9n	-44.35	27.48	26.94	28	20	14
3sja	-44.35	76.98	67.45	63	72	39
3vh8	-27.22	28.16	21.92	105	119	120
3sua	-26.96	124.77	93.74	40	59	29
3quy	-38.4	41.2	36.75	61	75	66
3sdy	-51.37	95.25	76.74	65	111	77
3sip	-34.25	92.33	81.1	104	109	171
3tn0	-32.29	81.08	75.16	59	78	39
2l9s	-32.29	0.0	0.0	11	18	5
3owt	-31.98	48.38	54.5	15	18	8
3sf4	-49.2	47.69	44.06	75	116	84
3rdz	-48.92	30.85	23.78	20	29	27
3sgk	-48.73	64.46	54.23	14	14	6
3uaj	-48.73	69.45	62.83	65	116	98
3r4d	-43.78	67.3	60.4	11	37	18
3nog	-43.66	80.11	89.33	39	28	15
3qbq	-37.89	62.14	51.53	33	23	19
3qux	-37.71	46.8	39.87	59	76	65
2kt5	-25.99	0.0	0.0	11	7	5
3r2x	-43.02	167.31	164.02	37	48	40
3qdm	-25.9	50.43	41.91	67	102	110
2y9m	-49.65	46.87	40.82	15	10	11
3rk3	-32.53	99.8	72.71	69	44	92
3scm	-31.5	56.58	54.74	69	71	68
3aon	-48.49	41.53	35.16	21	25	17
3r9a	-31.14	31.68	31.01	25	47	29
2xhe	-48.0	104.75	103.05	38	29	23
3t6g	-42.94	100.47	99.45	31	30	14
3sjd	-42.86	344.87	386.78	32	17	16
3qiu	-37.06	47.34	39.31	98	125	300
3ru8	-42.66	41.07	39.56	28	61	31
3oxu	-25.5	35.61	29.89	48	74	45
3quz	-42.25	43.1	36.63	61	72	65
3t2n	-42.24	47.83	43.53	51	94	65
3q4f	-30.75	267.87	278.29	45	25	17
3rug	-30.57	23.41	22.61	135	184	93
3r0l	-47.64	16.66	16.92	21	19	43
3sdd	-30.34	79.21	75.31	64	71	47
3q3g	-47.39	54.31	45.7	192	301	289
3qs7	-42.23	168.72	149.61	37	47	24
3qdj	-25.1	84.63	74.83	72	106	88
3r85	-25.02	36.74	36.72	49	36	31
3pvm	-42.1	192.8	185.49	60	88	40
2x89	-41.99	60.77	57.89	59	45	47
3uai	-41.93	100.68	99.02	61	46	33
3sda	-30.14	59.74	59.27	65	68	47
3q9u	-47.28	40.02	37.38	27	20	7
3s5l	-30.11	37.46	30.06	113	139	215
3o6f	-30.02	66.65	55.44	152	248	258
3qdg	-29.98	91.49	79.24	71	105	117
3rkd	-46.97	25.46	22.44	58	119	92
3pbp	-41.67	73.99	74.04	102	116	98
3s8v	-41.67	87.12	78.14	40	30	27
3to4	-41.67	71.79	63.89	65	82	58
3zs8	-41.62	111.96	103.38	26	35	28
3rpg	-30.26	38.86	39.39	42	31	29
3t1q	-30.26	39.91	36.1	16	18	7
3uyo	-29.49	25.55	23.94	7	17	9
3rzw	-40.91	38.97	38.29	18	20	8
2y0b	-46.93	56.62	45.93	101	85	143
3rdt	-29.8	52.02	43.08	80	90	101
3rgf	-46.53	44.81	46.95	23	18	12
3zyi	-46.44	58.73	52.11	25	21	16
3zyj	-46.25	102.08	109.14	47	51	21
3sku	-40.84	146.19	139.03	20	64	29
3s2k	-40.79	60.47	58.97	42	32	27
3rzc	-35.07	46.58	42.91	59	77	66
3q1s	-40.73	47.17	35.86	24	61	43
2l1l	-46.55	1.75	2.2	16	7	4
3pp4	-29.42	24.68	19.85	22	58	40
3s4s	-28.86	45.21	37.83	120	152	230
2xns	-34.77	109.15	111.03	44	39	31
3skj	-51.89	55.43	49.59	62	131	70
3pmh	-40.48	68.36	67.84	38	33	36
3qht	-40.45	49.08	44.05	25	38	26
3qwo	-40.3	48.79	39.02	80	148	96
3mj9	-46.21	76.84	69.75	39	72	52
2ld7	-45.87	0.0	0.0	23	24	9
